id,name,irish_name,county,country,eircode,grid_reference,easting,northing,latitude,longitude,postal_town,local_government_area,province,nuts3_region,type
1,Abartagh,Abartach,Waterford,Republic of Ireland,P36,X121851,212171,85195,52.01916,-7.82345,Youghal,Waterford City And County Council,Munster,South-East,Townland
2,Abberanville,Abberanville,Galway,Republic of Ireland,H62,M609232,160965,223221,53.25817,-8.58564,Loughrea,Galway County Council,Connacht,West,Townland
3,Abbernadoorny,,Donegal,Republic of Ireland,F94,G898822,189874,382219,54.68795,-8.15776,Donegal,Donegal County Council,Ulster,Border,Townland
4,Abbert,An Abart,Galway,Republic of Ireland,H54,M539410,153970,241071,53.41798,-8.69303,Tuam,Galway County Council,Connacht,West,Townland
5,Abbert Demesne,Diméin na hAbarta,Galway,Republic of Ireland,H54,M545421,154524,242155,53.42776,-8.68485,Tuam,Galway County Council,Connacht,West,Townland
6,Abbeville,Baile an Phíopaire,Tipperary,Republic of Ireland,E45,M957039,195720,203924,53.08619,-8.06461,Nenagh,Tipperary County Council,Munster,Mid-West,Townland
7,Abbey,An Mhainistir,Cork,Republic of Ireland,P75,V979480,97903,48095,51.67659,-9.47670,Bantry,Cork County Council,Munster,South-West,Townland
8,Abbey,An Mhainistir,Galway,Republic of Ireland,H62,M739066,173951,206684,53.11038,-8.38972,Loughrea,Galway County Council,Connacht,West,Townland
9,Abbey,An Mhainistir,Galway,Republic of Ireland,H54,M503439,150360,243954,53.44355,-8.74777,Tuam,Galway County Council,Connacht,West,Townland
10,Abbey,An Mhainistir,Galway,Republic of Ireland,H54,M502432,150241,243227,53.43701,-8.74945,Tuam,Galway County Council,Connacht,West,Town/Village
11,Abbey,An Mhainistir,Galway,Republic of Ireland,H62,M739059,173919,205904,53.10337,-8.39013,Loughrea,Galway County Council,Connacht,West,Town/Village
12,Abbey,An Mhainistir,Limerick,Republic of Ireland,V35,R687186,168741,118629,52.31887,-8.45913,Kilmallock,Limerick City And County Council,Munster,Mid-West,Townland
13,Abbeycartron,Cartrún na Mainistreach,Longford,Republic of Ireland,N39,N133761,213336,276138,53.73488,-7.79867,Longford,Longford County Council,Leinster,Midland,Townland
14,Abbeycartron,,Roscommon,Republic of Ireland,F45,M877886,187712,288601,53.84687,-8.18743,Castlerea,Roscommon County Council,Connacht,West,Townland
15,Abbeyderg,Mainistir Dhearg,Longford,Republic of Ireland,N39,N134650,213413,265052,53.63528,-7.79798,Longford,Longford County Council,Leinster,Midland,Townland
16,Abbeydorney,Mainistir Ó dTorna,Kerry,Republic of Ireland,V92,Q850229,85025,122958,52.34661,-9.68791,Tralee,Kerry County Council,Munster,South-West,Town/Village
17,Abbeydown,,Wexford,Republic of Ireland,Y21,S930609,293052,160938,52.69197,-6.62453,Enniscorthy,Wexford County Council,Leinster,South-East,Townland
18,Abbey East,An Mhainistir Thoir,Clare,Republic of Ireland,H91,M300098,130093,209822,53.13463,-9.04522,Galway,Clare County Council,Munster,Mid-West,Townland
19,Abbeyfarm,Feirm na Mainistreach,Limerick,Republic of Ireland,V35,R607281,160747,128173,52.40412,-8.57747,Kilmallock,Limerick City And County Council,Munster,Mid-West,Townland
20,Abbeyfeale,Mainistir na Féile,Limerick,Republic of Ireland,V94,R117268,111737,126811,52.38618,-9.29707,Limerick,Limerick City And County Council,Munster,Mid-West,Town/Village
21,Abbeyfeale East,Mainistir na Féile Thoir,Limerick,Republic of Ireland,V94,R120253,112002,125302,52.37266,-9.29278,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
22,Abbeyfeale West,Mainistir na Féile Thiar,Limerick,Republic of Ireland,V94,R111259,111170,125927,52.37814,-9.30517,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
23,Abbeyfield,An Mhainistir,Galway,Republic of Ireland,H53,M732313,173237,231392,53.33235,-8.40244,Ballinasloe,Galway County Council,Connacht,West,Townland
24,Abbeygormacan,Mainistir Ó gCormacáin,Galway,Republic of Ireland,H53,M764182,176438,218234,53.21428,-8.35342,Ballinasloe,Galway County Council,Connacht,West,Townland
25,Abbeygrove,Garrán na Manach,Kilkenny,Republic of Ireland,R95,S576530,257649,153018,52.62573,-7.14942,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
26,Abbeyhalfquarter,,Mayo,Republic of Ireland,F26,G252189,125214,318917,54.11395,-9.14431,Ballina,Mayo County Council,Connacht,West,Townland
27,Abbey Island,,Donegal,Republic of Ireland,F94,G870622,187084,362262,54.50860,-8.20015,Donegal,Donegal County Council,Ulster,Border,Townland
28,Abbey Island,,Kerry,Republic of Ireland,V23,V515580,51561,58061,51.75577,-10.15046,Caherciveen,Kerry County Council,Munster,South-West,Townland
29,Abbeyland,,Cavan,Republic of Ireland,H12,H419048,241945,304813,53.99098,-7.36126,Cavan,Cavan County Council,Ulster,Border,Townland
30,Abbeyland,Fearann na Mainistreach,Kildare,Republic of Ireland,R14,S779839,277994,183956,52.90114,-6.84169,Athy,Kildare County Council,Leinster,Mid-East,Townland
31,Abbeyland,,Kildare,Republic of Ireland,W91,N879273,287942,227382,53.28970,-6.68202,Naas,Kildare County Council,Leinster,Mid-East,Townland
32,Abbeyland,Fearann na Mainistreach,Meath,Republic of Ireland,C15,N861685,286115,268526,53.65958,-6.69814,Navan,Meath County Council,Leinster,Mid-East,Townland
33,Abbeyland,Fearann na Mainistreach,Meath,Republic of Ireland,A92,O044675,304432,267572,53.64768,-6.42150,Drogheda,Meath County Council,Leinster,Mid-East,Townland
34,Abbeyland,,Westmeath,Republic of Ireland,N91,N398644,239883,264456,53.62858,-7.39792,Mullingar,Westmeath County Council,Leinster,Midland,Townland
35,Abbey Land,Fearann na Mainistreach,Longford,Republic of Ireland,N39,N249714,224936,271400,53.69189,-7.62327,Longford,Longford County Council,Leinster,Midland,Townland
36,Abbeyland And Charlestown,,Westmeath,Republic of Ireland,N91,N333617,233380,261713,53.60439,-7.49649,Mullingar,Westmeath County Council,Leinster,Midland,Townland
37,Abbeyland Great,Fearann na Mainistreach Mór,Galway,Republic of Ireland,H53,M929182,192909,218249,53.21488,-8.10689,Ballinasloe,Galway County Council,Connacht,West,Townland
38,Abbeyland Little,Fearann na Mainistreach Beag,Galway,Republic of Ireland,H53,M962204,196219,220453,53.23472,-8.05735,Ballinasloe,Galway County Council,Connacht,West,Townland
39,Abbeyland North,Fearann na Mainistreach Thuaidh,Galway,Republic of Ireland,H54,M508638,150833,263814,53.62202,-8.74377,Tuam,Galway County Council,Connacht,West,Townland
40,Abbeylands,,Donegal,Republic of Ireland,F94,G866628,186651,362866,54.51402,-8.20686,Donegal,Donegal County Council,Ulster,Border,Townland
41,Abbeylands,Fearann na Mainistreach,Kerry,Republic of Ireland,V93,Q809009,80913,100988,52.14838,-9.74048,Killarney,Kerry County Council,Munster,South-West,Townland
42,Abbeylands,Fearann na Mainistreach,Kilkenny,Republic of Ireland,X91,S616131,261673,113172,52.26727,-7.09736,Waterford,Kilkenny County Council,Leinster,South-East,Townland
43,Abbeylands,Cluain na mBráthar,Limerick,Republic of Ireland,V94,R368414,136855,141429,52.52099,-8.93098,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
44,Abbeylands,,Mayo,Republic of Ireland,F26,G231285,123187,328594,54.20056,-9.17776,Ballina,Mayo County Council,Connacht,West,Townland
45,Abbeylands,,Wicklow,Republic of Ireland,Y14,T242729,324278,172954,52.79363,-6.15838,Arklow,Wicklow County Council,Leinster,Mid-East,Townland
46,Abbey-Lands,Fearann na Mainistreach,Cork,Republic of Ireland,P17,W633514,163370,51466,51.71497,-8.53070,Kinsale,Cork County Council,Munster,South-West,Townland
47,Abbeyland South,Fearann na Mainistreach Theas,Galway,Republic of Ireland,H54,M510632,151049,263271,53.61716,-8.74042,Tuam,Galway County Council,Connacht,West,Townland
48,Abbeyland South,Fearann na Mainistreach Theas,Meath,Republic of Ireland,C15,N860680,286042,268049,53.65531,-6.69937,Navan,Meath County Council,Leinster,Mid-East,Townland
49,Abbeylara,Mainistir Leathrátha,Longford,Republic of Ireland,N39,N359803,235903,280324,53.77143,-7.45624,Longford,Longford County Council,Leinster,Midland,Townland
50,Abbeylara,Mainistir Leathrátha,Longford,Republic of Ireland,N39,N363796,236394,279644,53.76528,-7.44887,Longford,Longford County Council,Leinster,Midland,Town/Village
51,Abbeyleix,Mainistir Laoise,Laois,Republic of Ireland,R32,S439851,243917,185100,52.91528,-7.34790,Portlaoise,Laois County Council,Leinster,Midland,Town/Village
52,Abbeyleix Demesne,,Laois,Republic of Ireland,R32,S419828,241923,182841,52.89514,-7.37782,Portlaoise,Laois County Council,Leinster,Midland,Townland
53,Abbeymahon,Mainistir Ó mBána,Cork,Republic of Ireland,P72,W482424,148286,42484,51.63306,-8.74760,Bandon,Cork County Council,Munster,South-West,Townland
54,Abbeypark,Páirc na Mainistreach,Galway,Republic of Ireland,H53,M853258,185360,225893,53.28341,-8.22023,Ballinasloe,Galway County Council,Connacht,West,Townland
55,Abbeyquarter,Ceathrú na Mainistreach,Mayo,Republic of Ireland,F35,M494788,149468,278831,53.75680,-8.76685,Ballyhaunis,Mayo County Council,Connacht,West,Townland
56,Abbeyquarter North,,Sligo,Republic of Ireland,F91,G693357,169376,335764,54.26981,-8.47078,Sligo,Sligo County Council,Connacht,Border,Townland
57,Abbeyquarter South,,Sligo,Republic of Ireland,F91,G695354,169533,335421,54.26674,-8.46833,Sligo,Sligo County Council,Connacht,Border,Townland
58,Abbeyshrule,Mainistir Shruthla,Longford,Republic of Ireland,N39,N227579,222705,257978,53.57140,-7.65802,Longford,Longford County Council,Leinster,Midland,Townland
59,Abbeyshrule,Mainistir Shruthla,Longford,Republic of Ireland,N39,N227592,222730,259215,53.58251,-7.65756,Longford,Longford County Council,Leinster,Midland,Town/Village
60,Abbeyside,Dún na Mainistreach,Waterford,Republic of Ireland,X35,X263934,226310,93486,52.09318,-7.61686,Dungarvan,Waterford City And County Council,Munster,South-East,Townland
61,Abbeystrowry,Mainistir na Sruthrach,Cork,Republic of Ireland,P81,W098343,109872,34360,51.55522,-9.30019,Skibbereen,Cork County Council,Munster,South-West,Townland
62,Abbeytown,Baile na Mainistreach,Galway,Republic of Ireland,H91,M293507,129325,250784,53.50251,-9.06582,Galway,Galway County Council,Connacht,West,Townland
63,Abbeytown,Baile na Mainistreach,Mayo,Republic of Ireland,F26,G136184,113630,318494,54.10833,-9.32127,Ballina,Mayo County Council,Connacht,West,Townland
64,Abbeytown,,Sligo,Republic of Ireland,F91,G649294,164910,329496,54.21322,-8.53859,Sligo,Sligo County Council,Connacht,Border,Townland
65,Abbeyville,Abbeyville,Dublin,Republic of Ireland,K36,O207436,320733,243604,53.42894,-6.18436,Malahide,Fingal County Council,Leinster,Dublin,Townland
66,Abbeyville,Baile na Mainistreach,Galway,Republic of Ireland,H62,M740050,174068,205007,53.09531,-8.38783,Loughrea,Galway County Council,Connacht,West,Townland
67,Abbeyville,,Sligo,Republic of Ireland,F56,G676121,167607,312113,54.05723,-8.49539,Ballymote,Sligo County Council,Connacht,Border,Townland
68,Abbey West,An Mhainistir Thiar,Clare,Republic of Ireland,H91,M289087,128932,208764,53.12497,-9.06233,Galway,Clare County Council,Munster,Mid-West,Townland
69,Abbotstown,Baile an Aba,Dublin,Republic of Ireland,D15,O087387,308717,238794,53.38835,-6.36670,Dublin,Fingal County Council,Leinster,Dublin,Townland
70,Abelstown,,Meath,Republic of Ireland,C15,N927747,292770,274736,53.71422,-6.59566,Navan,Meath County Council,Leinster,Mid-East,Townland
71,Abington,Mainistir Uaithne,Limerick,Republic of Ireland,V94,R717535,171704,153508,52.63245,-8.41864,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
72,Ablintown,,Wexford,Republic of Ireland,Y35,T004148,300489,114821,52.27636,-6.52846,Wexford,Wexford County Council,Leinster,South-East,Townland
73,Acantha,Áth an Chiontaigh,Offaly,Republic of Ireland,R35,N339292,233917,229205,53.31229,-7.49188,Tullamore,Offaly County Council,Leinster,Midland,Townland
74,Acarreagh,An tAcra Riabhach,Louth,Republic of Ireland,A91,J020076,302093,307644,54.00803,-6.44357,Dundalk,Louth County Council,Leinster,Border,Townland
75,Acaun,,Carlow,Republic of Ireland,R93,S900780,290021,178048,52.84620,-6.66464,Carlow,Carlow County Council,Leinster,South-East,Townland
76,Achillbeg Island,Acaill Bheag,Mayo,Republic of Ireland,F28,L711926,71116,292658,53.86747,-9.95999,Westport,Mayo County Council,Connacht,West,Townland
77,Achill Sound,Gob an Choire,Mayo,Republic of Ireland,F28,L734995,73499,299585,53.93026,-9.92664,Westport,Mayo County Council,Connacht,West,Town/Village
78,Achonry,Achadh Conaire,Sligo,Republic of Ireland,F91,G568147,156805,314748,54.08012,-8.66069,Sligo,Sligo County Council,Connacht,Border,Townland
79,Achonry,Achadh Conaire,Sligo,Republic of Ireland,F91,G565147,156595,314785,54.08043,-8.66391,Sligo,Sligo County Council,Connacht,Border,Town/Village
80,Ackeys Island,Oileán Acaí,Donegal,Republic of Ireland,F94,B715160,171505,416006,54.99073,-8.44591,Donegal,Donegal County Council,Ulster,Border,Townland
81,Aclamon,,Wexford,Republic of Ireland,Y34,S749192,274971,119248,52.32020,-6.90126,New Ross,Wexford County Council,Leinster,South-East,Townland
82,Aclare,,Carlow,Republic of Ireland,R21,S846598,284668,159899,52.68402,-6.74876,Muine Bheag,Carlow County Council,Leinster,South-East,Townland
83,Aclare,Áth an Chláir,Sligo,Republic of Ireland,F91,G413100,141300,310059,54.03646,-8.89665,Sligo,Sligo County Council,Connacht,Border,Town/Village
84,Aclint,Beal Átha Claonta,Louth,Republic of Ireland,A92,N897975,289758,297547,53.91963,-6.63461,Drogheda,Louth County Council,Leinster,Border,Townland
85,Acraboy,An tAcra Buí,Tipperary,Republic of Ireland,E34,R853395,185356,139526,52.50735,-8.21639,Tipperary,Tipperary County Council,Munster,South-East,Townland
86,Acragar,An tAcra Gearr,Kilkenny,Republic of Ireland,R95,S408683,240871,168385,52.76533,-7.39526,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
87,Acragar,An tAcra Gearr,Laois,Republic of Ireland,R32,N461058,246185,205811,53.10118,-7.31122,Portlaoise,Laois County Council,Leinster,Midland,Townland
88,Acraroe,Na hAcraí Rua,Kilkenny,Republic of Ireland,R95,S446503,244669,150323,52.60274,-7.34145,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
89,Acre Beg,An tAcra Beag,Galway,Republic of Ireland,H62,M642137,164235,213786,53.17363,-8.53557,Loughrea,Galway County Council,Connacht,West,Townland
90,Acre East,An tAcra Thoir,Galway,Republic of Ireland,H53,M812428,181260,242868,53.43580,-8.28271,Ballinasloe,Galway County Council,Connacht,West,Townland
91,Acre More,An tAcra Mór,Galway,Republic of Ireland,H62,M640132,164085,213223,53.16856,-8.53776,Loughrea,Galway County Council,Connacht,West,Townland
92,Acrenakirka,Acra an Chircigh,Tipperary,Republic of Ireland,E25,S128323,212818,132355,52.44296,-7.81223,Cashel,Tipperary County Council,Munster,South-East,Townland
93,Acres,,Cavan,Republic of Ireland,H12,N419998,241953,299838,53.94628,-7.36182,Cavan,Cavan County Council,Ulster,Border,Townland
94,Acres,Na hAcraí,Clare,Republic of Ireland,V94,R525968,152547,196880,53.02082,-8.70786,Limerick,Clare County Council,Munster,Mid-West,Townland
95,Acres,,Clare,Republic of Ireland,V15,R016671,101653,167145,52.74679,-9.45708,Kilrush,Clare County Council,Munster,Mid-West,Townland
96,Acres,,Clare,Republic of Ireland,H91,M248073,124804,207311,53.11135,-9.12364,Galway,Clare County Council,Munster,Mid-West,Townland
97,Acres,Na hAcraí,Cork,Republic of Ireland,P47,W258535,125857,53522,51.72974,-9.07382,Cork - Dunmanway,Cork County Council,Munster,South-West,Townland
98,Acres,Na hAcraí,Cork,Republic of Ireland,P51,R280031,128099,103124,52.17574,-9.05175,Mallow,Cork County Council,Munster,South-West,Townland
99,Acres,Na hAcraí,Cork,Republic of Ireland,P25,W864776,186428,77696,51.95174,-8.19812,Midleton,Cork County Council,Munster,South-West,Townland
100,Acres,Na hAcraí,Cork,Republic of Ireland,P81,W186393,118667,39338,51.60129,-9.17457,Skibbereen,Cork County Council,Munster,South-West,Townland
101,Acres,Na hAcraí,Cork,Republic of Ireland,P56,R405193,140552,119330,52.32284,-8.87260,Charleville,Cork County Council,Munster,South-West,Townland
102,Acres,Na hAcraí,Cork,Republic of Ireland,P17,W621482,162171,48252,51.68600,-8.54771,Kinsale,Cork County Council,Munster,South-West,Townland
103,Acres,Na hAcraí,Cork,Republic of Ireland,P61,R773000,177316,100064,52.15245,-8.33214,Fermoy,Cork County Council,Munster,South-West,Townland
104,Acres,Na hAcraí,Galway,Republic of Ireland,H62,M674026,167446,202601,53.07334,-8.48643,Loughrea,Galway County Council,Connacht,West,Townland
105,Acres,Na hAcraí,Galway,Republic of Ireland,H54,M465577,146529,257768,53.56728,-8.80777,Tuam,Galway County Council,Connacht,West,Townland
106,Acres,Na hAcraí,Galway,Republic of Ireland,H53,M636545,163698,254593,53.54023,-8.54829,Ballinasloe,Galway County Council,Connacht,West,Townland
107,Acres,Na hAcraí,Kerry,Republic of Ireland,V31,Q906472,90626,147216,52.56566,-9.61370,Listowel,Kerry County Council,Munster,South-West,Townland
108,Acres,Na hAcraí,Kerry,Republic of Ireland,V92,V567999,56745,99968,52.13349,-10.09289,Tralee,Kerry County Council,Munster,South-West,Townland
109,Acres,,Kerry,Republic of Ireland,V93,Q907001,90723,100192,52.14326,-9.59697,Killarney,Kerry County Council,Munster,South-West,Townland
110,Acres,Na hAcraí,Leitrim,Republic of Ireland,N41,G943253,194342,325301,54.17670,-8.08738,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
111,Acres,Na hAcraí,Leitrim,Republic of Ireland,H12,H171023,217139,302325,53.97004,-7.73957,Cavan,Leitrim County Council,Connacht,Border,Townland
112,Acres,Na hAcraí,Limerick,Republic of Ireland,V94,R166173,116648,117340,52.30185,-9.22261,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
113,Acres,Na hAcraí,Longford,Republic of Ireland,N39,N228798,222857,279827,53.76769,-7.65412,Longford,Longford County Council,Leinster,Midland,Townland
114,Acres,Na hAcraí,Mayo,Republic of Ireland,F12,M294829,129461,282968,53.79164,-9.07108,Claremorris,Mayo County Council,Connacht,West,Townland
115,Acres,Na hAcraí,Monaghan,Republic of Ireland,H18,H561383,256185,338361,54.29098,-7.13795,Monaghan,Monaghan County Council,Ulster,Border,Townland
116,Acres,Na hAcraí,Monaghan,Republic of Ireland,A75,H714190,271472,319089,54.11597,-6.90781,Castleblayney,Monaghan County Council,Ulster,Border,Townland
117,Acres,Na hAcraí,Roscommon,Republic of Ireland,F52,M804941,180489,294129,53.89632,-8.29754,Boyle,Roscommon County Council,Connacht,West,Townland
118,Acres,,Roscommon,Republic of Ireland,F42,M892644,189202,264493,53.63031,-8.16396,Roscommon,Roscommon County Council,Connacht,West,Townland
119,Acres,Na hAcraí,Waterford,Republic of Ireland,X35,X300935,230006,93545,52.09352,-7.56292,Dungarvan,Waterford City And County Council,Munster,South-East,Townland
120,Acre West,An tAcra Thiar,Galway,Republic of Ireland,H53,M803422,180382,242222,53.42996,-8.29588,Ballinasloe,Galway County Council,Connacht,West,Townland
121,Adamstown,Baile Adaim,Cork,Republic of Ireland,T12,W650634,165074,63410,51.82242,-8.50725,Cork - Ballinhassig,Cork County Council,Munster,South-West,Townland
122,Adamstown,Baile Adaim,Dublin,Republic of Ireland,A42,O091572,309178,257250,53.55401,-6.35337,Garristown,Fingal County Council,Leinster,Dublin,Townland
123,Adamstown,Baile Adaim,Dublin,Republic of Ireland,K78,O028326,302890,232688,53.33468,-6.45623,Lucan,South Dublin County Council,Leinster,Dublin,Townland
124,Adamstown,Baile Adaim,Limerick,Republic of Ireland,V35,R670315,167012,131507,52.43449,-8.48576,Kilmallock,Limerick City And County Council,Munster,Mid-West,Townland
125,Adamstown,Baile Adaim,Louth,Republic of Ireland,A92,O083916,308392,291612,53.86277,-6.35322,Drogheda,Louth County Council,Leinster,Border,Townland
126,Adamstown,,Meath,Republic of Ireland,C15,N835547,283570,254781,53.53653,-6.74031,Navan,Meath County Council,Leinster,Mid-East,Townland
127,Adamstown,Baile Ádaim,Tipperary,Republic of Ireland,E41,S099731,209940,173113,52.80927,-7.85334,Thurles,Tipperary County Council,Munster,Mid-West,Townland
128,Adamstown,Baile Adáim,Waterford,Republic of Ireland,X91,S523091,252362,109122,52.23184,-7.23436,Waterford,Waterford City And County Council,Munster,South-East,Townland
129,Adamstown,,Westmeath,Republic of Ireland,N91,N321449,232192,244908,53.45348,-7.51617,Mullingar,Westmeath County Council,Leinster,Midland,Townland
130,Adamstown,Maigh Arnaí,Wexford,Republic of Ireland,Y21,S868284,286864,128455,52.40117,-6.72450,Enniscorthy,Wexford County Council,Leinster,South-East,Townland
131,Adamstown,Maigh Arnaí,Wexford,Republic of Ireland,Y21,S872276,287283,127617,52.39357,-6.71856,Enniscorthy,Wexford County Council,Leinster,South-East,Town/Village
132,Adamstown Lower,Baile Adaim Íochtarach,Kilkenny,Republic of Ireland,R95,S382618,238224,161827,52.70660,-7.43524,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
133,Adamstown Upper,Baile Adaim Uactarach,Kilkenny,Republic of Ireland,R95,S372614,237256,161489,52.70363,-7.44960,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
134,Adamswood,Coill Adaim,Limerick,Republic of Ireland,V94,R414425,141481,142536,52.53145,-8.86304,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
135,Adare,Áth Dara,Limerick,Republic of Ireland,V94,R468458,146810,145829,52.56158,-8.78504,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
136,Adare,Áth Dara,Limerick,Republic of Ireland,V94,R463461,146397,146104,52.56402,-8.79118,Limerick,Limerick City And County Council,Munster,Mid-West,Town/Village
137,Addane,Ádán,Tipperary,Republic of Ireland,E45,R892711,189256,171108,52.79124,-8.15999,Nenagh,Tipperary County Council,Munster,Mid-West,Townland
138,Addanstown,,Meath,Republic of Ireland,C15,N751595,275175,259548,53.58062,-6.86575,Navan,Meath County Council,Leinster,Mid-East,Townland
139,Addergoole,,Clare,Republic of Ireland,H91,R390912,139046,191251,52.96888,-8.90796,Galway,Clare County Council,Munster,Mid-West,Townland
140,Addergoole,Eadargúil,Galway,Republic of Ireland,H91,L734562,73427,256219,53.54084,-9.91001,Galway,Galway County Council,Connacht,West,Townland
141,Addergoole,Eadargúil,Galway,Republic of Ireland,H53,M789190,178968,219060,53.22180,-8.31562,Ballinasloe,Galway County Council,Connacht,West,Townland
142,Addergoole,Eadargúil,Galway,Republic of Ireland,H54,M467502,146798,250240,53.49968,-8.80245,Tuam,Galway County Council,Connacht,West,Townland
143,Addergoole,,Laois,Republic of Ireland,R32,S336749,233602,174931,52.82466,-7.50227,Portlaoise,Laois County Council,Leinster,Midland,Townland
144,Addergoole,Eadargúil,Mayo,Republic of Ireland,F12,M395869,139561,286943,53.82861,-8.91862,Claremorris,Mayo County Council,Connacht,West,Townland
145,Addergoole Beg,Eadargúil Bheag,Galway,Republic of Ireland,H54,M466648,146674,264881,53.63120,-8.80680,Tuam,Galway County Council,Connacht,West,Townland
146,Addergoole More,Eadargúil Mhór,Galway,Republic of Ireland,H54,M519614,151953,261498,53.60131,-8.72650,Tuam,Galway County Council,Connacht,West,Townland
147,Addergoole North,Eadargúil Thuaidh,Galway,Republic of Ireland,H53,M827378,182719,237872,53.39096,-8.26047,Ballinasloe,Galway County Council,Connacht,West,Townland
148,Addergoole South,Eadargúil Theas,Galway,Republic of Ireland,H53,M838370,183807,237060,53.38370,-8.24409,Ballinasloe,Galway County Council,Connacht,West,Townland
149,Addergoole West,Eadargúil Thiar,Galway,Republic of Ireland,H53,M816372,181695,237299,53.38577,-8.27584,Ballinasloe,Galway County Council,Connacht,West,Townland
150,Addergown,Eadarghabhain,Kerry,Republic of Ireland,V92,Q841341,84192,134166,52.44711,-9.70401,Tralee,Kerry County Council,Munster,South-West,Townland
151,Adderville,,Donegal,Republic of Ireland,F93,C352428,235227,442878,55.23167,-7.44711,Lifford,Donegal County Council,Ulster,Border,Townland
152,Adderwal,Eadarbhaile,Donegal,Republic of Ireland,F94,B889064,188935,406496,54.90600,-8.17325,Donegal,Donegal County Council,Ulster,Border,Townland
153,Addinstown,,Westmeath,Republic of Ireland,N91,N657635,265779,263557,53.61789,-7.00674,Mullingar,Westmeath County Council,Leinster,Midland,Townland
154,Addragool,Eadargúil,Galway,Republic of Ireland,H91,M232304,123298,230469,53.31917,-9.15170,Galway,Galway County Council,Connacht,West,Townland
155,Addrigoole,Eadarghabháil,Waterford,Republic of Ireland,P36,X193827,219389,82745,51.99693,-7.71844,Youghal,Waterford City And County Council,Munster,South-East,Townland
156,Addroon,,Clare,Republic of Ireland,V95,R355888,135591,188801,52.94646,-8.95888,Ennis,Clare County Council,Munster,Mid-West,Townland
157,Aderavoher,Eadar Dhá Bhóthar,Sligo,Republic of Ireland,F26,G377377,137766,337706,54.28439,-8.95629,Ballina,Sligo County Council,Connacht,Border,Townland
158,Adereen,Áth an Doirín,Leitrim,Republic of Ireland,N41,M960967,196086,296762,53.92032,-8.06031,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
159,Aderg,An tÁth Dearg,Mayo,Republic of Ireland,F35,M508768,150874,276854,53.73917,-8.74522,Ballyhaunis,Mayo County Council,Connacht,West,Townland
160,Aderrig,Áth Deirg,Dublin,Republic of Ireland,K78,O008331,300890,233111,53.33886,-6.48611,Lucan,South Dublin County Council,Leinster,Dublin,Townland
161,Admiran,Ard Mireann,Donegal,Republic of Ireland,F93,H149960,214989,396001,54.81163,-7.76762,Lifford,Donegal County Council,Ulster,Border,Townland
162,Adoon,Áth an Dúin,Leitrim,Republic of Ireland,N41,H107027,210727,302705,53.97362,-7.83727,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
163,Adragool,,Roscommon,Republic of Ireland,F45,M697754,169762,275423,53.72775,-8.45885,Castlerea,Roscommon County Council,Connacht,West,Townland
164,Adramone Beg,Eadarmóin Bheag,Waterford,Republic of Ireland,X42,S341011,234104,101171,52.16181,-7.50236,Kilmacthomas,Waterford City And County Council,Munster,South-East,Townland
165,Adramone More,Eadarmóin Mhór,Waterford,Republic of Ireland,X42,S333007,233350,100739,52.15798,-7.51343,Kilmacthomas,Waterford City And County Council,Munster,South-East,Townland
166,Adraval,Eadarghabháil,Kerry,Republic of Ireland,V93,R056038,105684,103887,52.17922,-9.37953,Killarney,Kerry County Council,Munster,South-West,Townland
167,Adrigole,Eadargóil,Cork,Republic of Ireland,P75,V804507,80467,50763,51.69712,-9.72956,Bantry,Cork County Council,Munster,South-West,Townland
168,Adrigole,Eadargóil,Cork,Republic of Ireland,P75,V809504,80926,50427,51.69420,-9.72281,Bantry,Cork County Council,Munster,South-West,Town/Village
169,Adrigool,Eadargóil,Cork,Republic of Ireland,P81,W156386,115642,38624,51.59443,-9.21804,Skibbereen,Cork County Council,Munster,South-West,Townland
170,Adrivale,Eadarghabháil,Cork,Republic of Ireland,P12,W234861,123489,86115,52.02228,-9.11531,Macroom,Cork County Council,Munster,South-West,Townland
171,Adruel,Eadrúill,Offaly,Republic of Ireland,R42,S050898,205079,189896,52.96014,-7.92515,Birr,Offaly County Council,Leinster,Midland,Townland
172,Afaddy,Áth Fada,Kilkenny,Republic of Ireland,X91,S506182,250636,118281,52.31430,-7.25825,Waterford,Kilkenny County Council,Leinster,South-East,Townland
173,Affane,Áth Mheáin,Waterford,Republic of Ireland,P51,X113967,211316,96705,52.12262,-7.83551,Mallow,Waterford City And County Council,Munster,South-East,Townland
