id,name,irish_name,county,country,eircode,grid_reference,easting,northing,latitude,longitude,postal_town,local_government_area,province,nuts3_region,type
1310,Ardeen,,Kerry,Republic of Ireland,V93,V717703,71724,70362,51.87124,-9.86318,Killarney,Kerry County Council,Munster,South-West,Townland
1311,Ardeenloun East,Ard Uí Anluain Thoir,Waterford,Republic of Ireland,X91,S463082,246315,108246,52.22451,-7.32298,Waterford,Waterford City And County Council,Munster,South-East,Townland
1312,Ardeenloun West,Ard Uí Anluain Thiar,Waterford,Republic of Ireland,X91,S456078,245651,107825,52.22078,-7.33275,Waterford,Waterford City And County Council,Munster,South-East,Townland
1313,Ardeevin,Ard Aoibhinn,Donegal,Republic of Ireland,F94,G984827,198424,382783,54.69311,-8.02519,Donegal,Donegal County Council,Ulster,Border,Townland
1314,Ardeevin,An tArd Aoibhinn,Galway,Republic of Ireland,F45,M632656,163231,265677,53.63977,-8.55664,Castlerea,Galway County Council,Connacht,West,Townland
1315,Ardeevin,,Roscommon,Republic of Ireland,F45,M785777,178563,277784,53.74940,-8.32568,Castlerea,Roscommon County Council,Connacht,West,Townland
1316,Ardellis Lower,,Kildare,Republic of Ireland,R14,N724009,272467,200930,53.05441,-6.92001,Athy,Kildare County Council,Leinster,Mid-East,Townland
1317,Ardellis Upper,,Kildare,Republic of Ireland,R14,N724001,272405,200163,53.04753,-6.92111,Athy,Kildare County Council,Leinster,Mid-East,Townland
1318,Ardenagh Great,,Wexford,Republic of Ireland,Y35,S893167,289346,116759,52.29570,-6.69116,Wexford,Wexford County Council,Leinster,South-East,Townland
1319,Ardenagh Little,,Wexford,Republic of Ireland,Y35,S888175,288867,117564,52.30301,-6.69797,Wexford,Wexford County Council,Leinster,South-East,Townland
1320,Arderra,Ardaire,Kilkenny,Republic of Ireland,X91,S527185,252750,118561,52.31662,-7.22720,Waterford,Kilkenny County Council,Leinster,South-East,Townland
1321,Arderrawinny,Ard Doire Mhuine,Cork,Republic of Ireland,P81,V875316,87562,31646,51.52683,-9.62087,Skibbereen,Cork County Council,Munster,South-West,Townland
1322,Arderrow,Ard an Rabhaidh,Cork,Republic of Ireland,T23,W694744,169499,74475,51.92212,-8.44405,Cork - Blarney,Cork County Council,Munster,South-West,Townland
1323,Arderry,Ard Doire,Cavan,Republic of Ireland,H14,H173193,217389,319302,54.12255,-7.73479,Belturbet,Cavan County Council,Ulster,Border,Townland
1324,Arderry,Ard-doire,Leitrim,Republic of Ireland,H12,H171062,217122,306248,54.00528,-7.73961,Cavan,Leitrim County Council,Connacht,Border,Townland
1325,Arderry,Ard-doire,Mayo,Republic of Ireland,F28,M049760,104920,276005,53.72519,-9.44118,Westport,Mayo County Council,Connacht,West,Townland
1326,Arderry,,Mayo,Republic of Ireland,F35,M476894,147623,289488,53.85235,-8.79664,Ballyhaunis,Mayo County Council,Connacht,West,Townland
1327,Ardeskin,,Donegal,Republic of Ireland,F94,G936778,193688,377824,54.64853,-8.09853,Donegal,Donegal County Council,Ulster,Border,Townland
1328,Ardfarn,,Donegal,Republic of Ireland,F94,G833577,183384,357772,54.46816,-8.25701,Donegal,Donegal County Council,Ulster,Border,Townland
